id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19091,Rental unit in New Orleans · ★4.89 · 1 bedroom · 1 bed · 1 bath,72880,John,,Leonidas,29.961,-90.1195,Entire home/apt,60,1,499,2023-07-05,3.06,1,34,3,"22-RSTR-14107, 22-OSTR-14105"
71624,Rental unit in New Orleans · ★4.94 · 1 bedroom · 1 bed · 1 bath,367223,Susan,,Bywater,29.96153,-90.04364,Entire home/apt,150,3,291,2023-05-30,1.90,1,342,21,"21-RSTR-18609, 22-OSTR-20720"
74498,Rental unit in New Orleans · ★4.90 · 1 bedroom · 2 beds · 1 bath,391462,Georgia,,St. Roch,29.96986,-90.05172,Entire home/apt,85,3,593,2023-07-22,3.90,3,226,41,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
79536,Rental unit in New Orleans · ★4.89 · 1 bedroom · 2 beds · 1 bath,428362,Miriam,,Seventh Ward,29.97803,-90.0745,Entire home/apt,59,3,677,2023-08-29,4.51,1,12,98,"21-RSTR-18550, 21-OSTR-18392"
79609,Guest suite in New Orleans · ★4.96 · 2 bedrooms · 2 beds · 1 private bath,428909,Stephen,,St. Claude,29.96448,-90.03667,Private room,89,3,476,2023-08-28,3.14,1,317,39,"23-ISTR-02823, 23-OSTR-02823"
80869,Home in New Orleans · ★4.82 · 1 bedroom · 1 bed · 2 shared baths,437783,Joanne,,Marigny,29.96811,-90.05905,Private room,75,30,904,2023-08-18,5.96,2,40,67,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
84725,Boutique hotel in New Orleans · ★3.67 · 1 bedroom · 2 beds · 1 private bath,85132,Sanford,,Central City,29.93608,-90.07997,Private room,317,30,5,2016-01-01,0.04,8,365,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
89173,Rental unit in New Orleans · ★4.94 · 1 bedroom · 1 bed · 1 bath,486093,Virginia,,Marigny,29.96364,-90.0591,Entire home/apt,132,31,470,2023-06-25,3.15,2,199,30,"22-RSTR-04939, 21-OSTR-03993"
90806,Rental unit in New Orleans · ★4.93 · 1 bedroom · 1 bed · 1 bath,485705,Tom,,Mid-City,29.97264,-90.09992,Entire home/apt,101,30,142,2023-06-29,0.98,1,364,1,17STR-05569
183207,Home in New Orleans · ★4.83 · 1 bedroom · 1 bed · 2 shared baths,437783,Joanne,,Marigny,29.96811,-90.05905,Private room,75,30,847,2023-08-13,5.83,2,59,59,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
184478,Home in New Orleans · 2 bedrooms · 2 beds · 1 shared bath,884946,DJoseph,,Fillmore,30.01387,-90.08049,Private room,199,30,2,2020-02-26,0.05,1,0,0,"19str-24335, 19-OSTR-1234"
204998,Rental unit in New Orleans · ★4.66 · 2 bedrooms · 2 beds · 2.5 baths,1006034,Gwendolyn,,Treme - Lafitte,29.9678,-90.06675,Entire home/apt,120,30,208,2022-09-05,1.43,5,179,1,"19STR-26370, 19-OSTR-2637"
205008,Townhouse in New Orleans · ★4.83 · 2 bedrooms · 2 beds · 2.5 baths,1006034,Gwendolyn,,Treme - Lafitte,29.96719,-90.07033,Entire home/apt,150,30,290,2022-11-01,2.00,5,174,3,"19STR-26373, 19-OSTR-2637"
228560,Bungalow in New Orleans · ★4.83 · 3 bedrooms · 4 beds · 3 baths,1192986,Dayna,,Marigny,29.96524,-90.05901,Entire home/apt,228,2,117,2023-07-02,1.18,2,75,15,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
240258,Rental unit in New Orleans · ★4.90 · 1 bedroom · 2 beds · 1 bath,391462,Georgia,,St. Roch,29.96929,-90.05172,Entire home/apt,84,3,568,2023-07-03,3.93,3,258,31,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
259868,Home in New Orleans · ★4.74 · 2 bedrooms · 3 beds · 1 bath,1363780,Deborah,,Treme - Lafitte,29.97307,-90.07671,Entire home/apt,210,30,140,2023-05-08,0.99,2,265,11,"19STR-25266, 21-OSTR-25266"
277071,Place to stay in New Orleans · ★4.91 · 1 bedroom · 1 bed · 1 private bath,1447895,Penny,,Irish Channel,29.92078,-90.0849,Private room,90,3,206,2023-07-06,1.45,1,41,13,"22-RSTR-15053, 22-OSTR-15054"
314233,Rental unit in New Orleans · ★4.78 · 1 bedroom · 1 bed · 1 bath,1182408,Lauren,,Marigny,29.96611,-90.06146,Entire home/apt,175,30,80,2020-03-18,0.57,1,364,0,17STR-06556
317793,Home in New Orleans · ★5.0 · 2 bedrooms · 2 beds · 1 bath,1631225,Seran,,Whitney,29.94995,-90.04538,Entire home/apt,80,30,13,2023-03-13,0.09,1,364,1,"Long-term host, exempt from registration"
345394,Home in New Orleans · ★4.88 · 1 bedroom · 1 bed · 1 bath,1751871,Betsey,,Bywater,29.96376,-90.04536,Entire home/apt,149,2,545,2023-08-01,3.91,1,85,37,"20-ISTR-10332, 20-OSTR-10332"
373034,Home in New Orleans · ★4.82 · 1 bedroom · 1 bed · 1 bath,1695097,Connie,,Marigny,29.96739,-90.05899,Entire home/apt,143,3,415,2023-07-01,2.97,1,135,22,"22-RSTR-13055, 22-OSTR-13054"
405209,Rental unit in New Orleans · ★4.75 · 3 bedrooms · 5 beds · 3 baths,323664718,Nichole,,Treme - Lafitte,29.965829849243164,-90.06376647949219,Entire home/apt,268,30,158,2023-07-24,1.53,32,163,28,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
406652,Home in New Orleans · ★4.82 · 2 bedrooms · 3 beds · 1 bath,2026099,Conor,,St. Thomas Dev,29.92302,-90.07285,Entire home/apt,170,30,175,2023-07-03,1.27,1,185,4,"23STR-08837, 23-OSTR-08837"
422952,Rental unit in New Orleans · ★4.72 · 2 bedrooms · 3 beds · 2 baths,2103275,NOLA Festivals,,Fairgrounds,29.9797,-90.075,Entire home/apt,150,30,157,2019-01-01,1.15,3,364,0,17STR-12313
425692,Vacation home in New Orleans · ★4.60 · 2 bedrooms · 4 beds · 1 bath,447521,Krekel,,Marigny,29.965171813964844,-90.0541000366211,Entire home/apt,108,2,189,2023-08-13,1.37,2,54,52,"22-RSTR-07363, 22-OSTR-13445"
425878,Guesthouse in New Orleans · ★4.76 · Studio · 4 beds · 1 bath,1919429,Kristin,,Bayou St. John,29.975841522216797,-90.0870361328125,Entire home/apt,125,30,45,2022-11-19,0.39,1,352,1,"19STR-22497, 19-OSTR-3213"
427928,Home in New Orleans · ★4.73 · 6 bedrooms · 10 beds · 3 baths,2103275,NOLA Festivals,,Fairgrounds,29.98149,-90.07425,Entire home/apt,707,30,146,2020-02-24,1.13,3,365,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
441125,Home in New Orleans · ★4.66 · 5 bedrooms · 10 beds · 3 baths,2191889,Chris,,Audubon,29.93357,-90.11427,Entire home/apt,543,30,35,2020-03-16,0.26,2,210,0,19STR-83914
446478,Home in New Orleans · ★4.73 · 1 bedroom · 1 bed · 1 bath,2216025,Gregory,,French Quarter,29.96254,-90.06653,Entire home/apt,150,30,225,2017-06-11,1.68,1,364,0,
458029,Rental unit in New Orleans · ★4.80 · 1 bedroom · 1 bed · 1 bath,2277128,Bonny And Paul,,Leonidas,29.94844,-90.13186,Entire home/apt,99,30,89,2018-04-26,0.66,1,279,0,City registration pending
474197,Rental unit in New Orleans · ★4.71 · 3 bedrooms · 3 beds · 2.5 baths,22449191,A. Layla,,Treme - Lafitte,29.96587,-90.07053,Entire home/apt,276,2,66,2023-07-03,0.48,2,322,9,"21-CSTR-08647, 21-OSTR-13290"
542247,Home in New Orleans · ★4.67 · 3 bedrooms · 3 beds · 2 baths,2156820,J,,Broadmoor,29.94627,-90.10059,Entire home/apt,237,3,124,2023-07-03,0.93,5,120,3,"22-RSTR-12004, 22-OSTR-12012"
561833,Home in New Orleans · ★4.81 · 3 bedrooms · 4 beds · 1.5 baths,2707644,Lindsay,,Mid-City,29.97461,-90.09815,Entire home/apt,211,1,68,2023-06-29,0.52,14,177,17,"21-CSTR-08128, 20-OSTR-02677"
596410,Home in New Orleans · ★4.92 · 3 bedrooms · 3 beds · 2.5 baths,2948651,Jennifer,,Lower Garden District,29.93434,-90.07451,Entire home/apt,150,30,79,2023-07-25,0.61,1,43,1,17STR-13854
648129,Guest suite in New Orleans · ★4.92 · 1 bedroom · 1 bed · 1 bath,2383859,Brian,,City Park,29.98282,-90.09417,Entire home/apt,89,30,117,2020-02-24,0.88,1,152,0,18STR-16510
665259,Rental unit in New Orleans · ★4.72 · 1 bedroom · 1 bed,1451330,Leron And Dennis,,St. Roch,29.97581,-90.05337,Private room,89,2,230,2023-07-05,1.73,2,180,12,"21-RSTR-05754, 20-OSTR-00520"
665334,Rental unit in New Orleans · ★4.63 · 1 bedroom · 1 bed · 1 shared bath,1451330,Leron And Dennis,,St. Roch,29.97673,-90.05316,Private room,89,2,304,2023-07-02,2.27,2,261,18,"21-RSTR-05754, 20-OSTR-00520"
684584,Guest suite in New Orleans · ★4.86 · 2 bedrooms · 2 beds · 1 shared bath,2176992,Erin,,Mid-City,29.96658,-90.09607,Private room,90,1,968,2023-08-20,7.24,1,200,127,"20RSTR-33155, 20OSTR-33153"
701364,Rental unit in New Orleans · ★4.82 · 2 bedrooms · 2 beds · 1 bath,2671376,Ruby Dee,,St. Roch,29.97036,-90.05007,Entire home/apt,40,30,257,2023-06-04,1.95,3,37,21,"20STR-01981, 20-OSTR-01981"
705776,Home in New Orleans · ★4.88 · 1 bedroom · 1 bed · 1.5 baths,2707644,Lindsay,,Mid-City,29.97524,-90.10003,Private room,62,30,218,2020-03-09,1.65,14,8,0,"21-CSTR-08128, 20-OSTR-02677"
705854,Home in New Orleans · ★4.88 · 1 bedroom · 1 bed · 1.5 baths,2707644,Lindsay,,Mid-City,29.9754,-90.09804,Private room,75,1,237,2023-06-13,1.79,14,11,2,"21-CSTR-08128, 20-OSTR-02677"
708852,Rental unit in New Orleans · Studio · 1 bed · 1 bath,103427,Jacqueline M,,Lower Garden District,29.93396,-90.08066,Entire home/apt,257,30,0,,,2,90,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
718256,Home in New Orleans · ★4.89 · 3 bedrooms · 3 beds · 1 bath,1340014,Susanna,,Fillmore,30.00784,-90.08124,Entire home/apt,94,2,363,2023-08-28,2.84,1,251,28,"21-RSTR-02047, 22-OSTR-20118"
719226,Rental unit in New Orleans · ★4.70 · 1 bedroom · 1 bed · 1 bath,3710725,Michel,,Fairgrounds,29.98078,-90.08057,Entire home/apt,53,30,35,2017-04-06,0.26,1,93,0,
742617,Rental unit in New Orleans · ★4.58 · 3 bedrooms · 4 beds · 2 baths,3888377,Zalia,,Marigny,29.96577,-90.05811,Entire home/apt,214,3,262,2023-08-06,2.04,1,130,39,"22CSTR-00256, 22OSTR-00243"
755827,Home in New Orleans · ★4.84 · 2 bedrooms · 2 beds · 1 bath,3978674,Carmen,,Bywater,29.96056,-90.03423,Entire home/apt,114,3,574,2023-08-07,4.35,1,34,40,"22-RSTR-00644, 23-OSTR-03706"
760661,Home in New Orleans · ★4.50 · 3 bedrooms · 4 beds · 1.5 baths,2156820,J,,Broadmoor,29.94811,-90.09961,Entire home/apt,169,3,170,2023-05-09,1.32,5,112,14,"22-RSTR-12004, 22-OSTR-12012"
780112,Rental unit in New Orleans · ★4.94 · 3 bedrooms · 5 beds · 2 baths,3233663,Julie,,Bayou St. John,29.97728,-90.08278,Entire home/apt,250,30,97,2022-04-22,0.76,1,89,0,City registration pending
790082,Rental unit in New Orleans · ★4.82 · 2 bedrooms · 2 beds · 1 bath,4163388,N L,,Holy Cross,29.95852,-90.02569,Entire home/apt,109,30,101,2021-12-20,0.78,2,172,0,17STR-19404
812536,Condo in New Orleans · ★4.79 · 2 bedrooms · 2 beds · 1 bath,4271460,Christian,,Central City,29.936163133517077,-90.08231127689163,Entire home/apt,102,30,63,2023-04-24,0.49,3,123,6,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
812675,Condo in New Orleans · ★4.88 · 2 bedrooms · 2 beds · 1 bath,4271460,Christian,,Central City,29.935006370033513,-90.08173553236517,Entire home/apt,153,30,78,2023-05-14,0.60,3,150,11,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
829933,Home in New Orleans · ★4.92 · 1 bedroom · 1 bed · 1.5 baths,3849334,Liberty,,Treme - Lafitte,29.96949,-90.07396,Private room,49,30,149,2023-07-29,1.15,1,86,5,"19RSTR-26556, 21-OSTR-08891"
845309,Home in New Orleans · ★4.96 · 3 bedrooms · 3 beds · 2.5 baths,4413148,Deborah,,Marigny,29.96609,-90.05718,Entire home/apt,475,30,172,2021-05-03,1.33,1,321,0,"19STR-08005, 20-OSTR-0809"
851999,Rental unit in New Orleans · ★4.83 · 1 bedroom · 1 bed · 1 bath,4448274,Carolee,,Leonidas,29.95565,-90.12383,Entire home/apt,132,31,110,2023-06-06,0.85,2,299,1,City registration pending
854997,Rental unit in New Orleans · ★4.78 · 1 bedroom · 2 beds · 1 bath,176809,Amy,,Marigny,29.96731,-90.05927,Entire home/apt,199,30,138,2023-04-16,1.07,1,179,1,City registration pending
